Sorting,caseID,Activity Name,Timestamp
0,1,Purchase Requisition Created,2021-05-03 17:30:00
1,1,Purchase Order Reviewed,2021-05-03 17:30:00
2,1,Purchase Order Approved,2021-05-07 20:18:40
3,1,Negotiations with Vendor,2021-05-08 1:21:12
4,1,Order Placed with Vendor,2021-05-11 4:45:47
5,1,Vendor Ships Package from Warehouse,2021-05-11 10:28:46
6,1,Package Picked Up by Carrier,2021-05-12 13:44:58
7,1,Package Shipped by Air,2021-05-13 11:29:37
8,1,Parcel Received at Customs,2021-05-15 0:56:10
9,1,Customs Approved,2021-05-15 19:12:16
10,1,Package Received at Warehouse,2021-05-15 22:22:44
11,1,Package Transferred to Store,2021-05-16 4:15:35
12,1,Package Received at Store,2021-05-17 5:19:34
13,2,Purchase Requisition Created,2020-02-08 4:04:00
14,2,Purchase Order Reviewed,2020-02-08 4:04:00
15,2,Purchase Order Approved,2020-02-10 17:08:41
16,2,Negotiations with Vendor,2020-02-11 0:08:00
17,2,Order Placed with Vendor,2020-02-15 18:53:48
18,2,Vendor Ships Package from Warehouse,2020-02-16 2:13:01
19,2,Package Picked Up by Carrier,2020-02-20 8:09:48
20,2,Package Shipped by Road,2020-02-21 19:09:55
21,2,Package Received at Warehouse,2020-02-24 7:10:53
22,2,Package Transferred to Store,2020-02-24 12:26:12
23,2,Package Received at Store,2020-02-25 20:59:00
24,3,Purchase Requisition Created,2020-01-22 17:54:00
25,3,Purchase Order Reviewed,2020-01-22 17:54:00
26,3,Purchase Order Approved,2020-01-26 0:18:08
27,3,Order Placed with Vendor,2020-01-26 7:26:54
28,3,Vendor Ships Package from Warehouse,2020-01-26 13:37:41
29,3,Package Picked Up by Carrier,2020-01-30 0:36:59
30,3,Package Shipped by Sea,2020-01-31 6:16:04
31,3,Parcel Received at Customs,2020-02-11 13:21:24
32,3,Customs Approved,2020-02-12 11:53:21
33,3,Package Received at Warehouse,2020-02-12 15:22:47
34,3,Package Transferred to Store,2020-02-13 0:06:14
35,3,Package Received at Store,2020-02-14 3:14:27
36,4,Purchase Requisition Created,2021-09-16 7:48:00
37,4,Purchase Order Reviewed,2021-09-16 7:48:00
38,4,Purchase Order Approved,2021-09-20 7:49:31
39,4,Negotiations with Vendor,2021-09-20 10:18:40
40,4,Order Placed with Vendor,2021-09-24 0:48:58
41,4,Vendor Ships Package from Warehouse,2021-09-24 8:47:04
42,4,Package Picked Up by Carrier,2021-09-28 2:39:40
43,4,Package Shipped by Road,2021-09-29 7:17:41
44,4,Package Received at Warehouse,2021-10-01 21:04:13
45,4,Package Transferred to Store,2021-10-02 5:17:08
46,4,Package Received at Store,2021-10-03 10:46:41
47,5,Purchase Requisition Created,2020-02-28 2:22:00
48,5,Purchase Order Reviewed,2020-02-28 2:22:00
49,5,Purchase Order Approved,2020-03-01 1:28:41
50,5,Order Placed with Vendor,2020-03-01 8:24:15
51,5,Vendor Ships Package from Warehouse,2020-03-01 14:36:06
