Sorting,caseID,Material Code,Material,Vendor,Amount Ordered
0,1,CP4560,Titanium Dioxides,ColorPlus Manufacturing,13.64910965
1,2,CP5644,Specialty Resins,ColorPlus Manufacturing,28.3137113
2,3,SI8599,Solvents,Sunlight Industries,18.23135133
3,4,CP7899,Pigments & Colorants,ColorPlus Manufacturing,106.8311785
4,5,PO9342,Packaging,Pioneer Packaging,26.65683587
5,6,CP7899,Pigments & Colorants,ColorPlus Manufacturing,125.8339762
6,7,CP7899,Pigments & Colorants,ColorPlus Manufacturing,96.52771817
7,8,SI9085,Additives,Sunlight Industries,37.92698823
8,9,SI7017,Commodity Resins,Sunlight Industries,8.793888451
9,10,SI8599,Solvents,Sunlight Industries,42.59987787
10,11,SI0179,Latex & Monomers,Sunlight Industries,41.78079703
11,12,PO9342,Packaging,Pioneer Packaging,14.70717979
12,13,CP4560,Titanium Dioxides,ColorPlus Manufacturing,10.39298239
13,14,CP5644,Specialty Resins,ColorPlus Manufacturing,21.90962252
14,15,SI0179,Latex & Monomers,Sunlight Industries,86.17412079
15,16,CP4560,Titanium Dioxides,ColorPlus Manufacturing,9.658508304
16,17,CP5644,Specialty Resins,ColorPlus Manufacturing,15.22872712
17,18,CP7899,Pigments & Colorants,ColorPlus Manufacturing,141.0638879
18,19,CP4560,Titanium Dioxides,ColorPlus Manufacturing,12.51728325
19,20,CP5644,Specialty Resins,ColorPlus Manufacturing,17.38347064
20,21,CP7899,Pigments & Colorants,ColorPlus Manufacturing,55.06901988
21,22,PO9342,Packaging,Pioneer Packaging,26.23742128
22,23,SI7017,Commodity Resins,Sunlight Industries,8.011115118
23,24,SI9085,Additives,Sunlight Industries,23.49107634
24,25,SI9085,Additives,Sunlight Industries,48.020764
25,26,SI0179,Latex & Monomers,Sunlight Industries,65.82344144
26,27,SI9085,Additives,Sunlight Industries,29.8221846
27,28,CP4560,Titanium Dioxides,ColorPlus Manufacturing,14.70298542
28,29,SI8599,Solvents,Sunlight Industries,29.78603341
29,30,SI9085,Additives,Sunlight Industries,45.82156217
30,31,SI8599,Solvents,Sunlight Industries,36.15618292
31,32,CP4560,Titanium Dioxides,ColorPlus Manufacturing,7.756420204
32,33,CP5644,Specialty Resins,ColorPlus Manufacturing,34.97208645
33,34,SI9085,Additives,Sunlight Industries,24.00789289
34,35,SI8599,Solvents,Sunlight Industries,39.41097638
35,36,SI7017,Commodity Resins,Sunlight Industries,4.029885494
36,37,CP5644,Specialty Resins,ColorPlus Manufacturing,25.63353217
37,38,SI8599,Solvents,Sunlight Industries,37.63514207
38,39,SI0179,Latex & Monomers,Sunlight Industries,95.22700062
